Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal
1924-07-01,7,1924,8.359591666666663,1,839.75,15.166666666666666,0.0,0.0,0.0,110.41666666666667,965.9166666666666
1924-08-01,8,1924,8.35895833333333,1,839.0,15.333333333333334,0.0,0.0,0.0,110.33333333333333,965.3333333333334
1924-09-01,9,1924,8.35930833333333,1,838.25,15.5,0.0,0.0,0.0,110.25,964.75
1924-10-01,10,1924,8.357774999999998,1,837.5,15.666666666666666,0.0,0.0,0.0,110.16666666666667,964.1666666666666
1924-11-01,11,1924,8.363116666666663,1,836.75,15.833333333333334,0.0,0.0,0.0,110.08333333333333,963.5833333333334
1924-12-01,12,1924,8.36215833333333,1,836.0,16.0,0.0,0.0,0.0,110.0,963.0
1925-01-01,1,1925,8.361899999999997,1,836.5,16.083333333333332,0.0,0.0,0.0,110.5,964.0
1925-02-01,2,1925,8.357199999999997,1,837.0,16.166666666666668,0.0,0.0,0.0,111.0,965.0
1925-03-01,3,1925,8.357058333333331,1,837.5,16.25,0.0,0.0,0.0,111.5,966.0
1925-04-01,4,1925,8.354866666666663,1,838.0,16.333333333333332,0.0,0.0,0.0,112.0,967.0
1925-05-01,5,1925,8.351083333333326,1,838.5,16.416666666666668,0.0,0.0,0.0,112.5,968.0
1925-06-01,6,1925,8.349324999999997,1,839.0,16.5,0.0,0.0,0.0,113.0,969.0
1925-07-01,7,1925,8.34618333333333,1,839.5,16.583333333333332,0.0,0.0,0.0,113.5,970.0
1925-08-01,8,1925,8.346174999999997,1,840.0,16.666666666666668,0.0,0.0,0.0,114.0,971.0
1925-09-01,9,1925,8.347108333333331,1,840.5,16.75,0.0,0.0,0.0,114.5,972.0
1925-10-01,10,1925,8.348874999999998,1,841.0,16.833333333333332,0.0,0.0,0.0,115.0,973.0
1925-11-01,11,1925,8.34990833333333,1,841.5,16.916666666666668,0.0,0.0,0.0,115.5,974.0
1925-12-01,12,1925,8.35628333333333,1,842.0,17.0,0.0,0.0,0.0,116.0,975.0
1926-01-01,1,1926,8.36325833333333,1,842.3333333333334,17.166666666666668,0.0,0.0,0.0,116.25,975.6666666666666
1926-02-01,2,1926,8.369591666666663,1,842.6666666666666,17.333333333333332,0.0,0.0,0.0,116.5,976.3333333333334
1926-03-01,3,1926,8.377799999999997,1,843.0,17.5,0.0,0.0,0.0,116.75,977.0
1926-04-01,4,1926,8.379016666666663,1,843.3333333333334,17.666666666666668,0.0,0.0,0.0,117.0,977.6666666666666
1926-05-01,5,1926,8.378674999999998,1,843.6666666666666,17.833333333333332,0.0,0.0,0.0,117.25,978.3333333333334
1926-06-01,6,1926,8.38153333333333,1,844.0,18.0,0.0,0.0,0.0,117.5,979.0
1926-07-01,7,1926,8.382499999999997,1,844.3333333333334,18.166666666666668,0.0,0.0,0.0,117.75,979.6666666666666
1926-08-01,8,1926,8.384974999999995,1,844.6666666666666,18.333333333333332,0.0,0.0,0.0,118.0,980.3333333333334
1926-09-01,9,1926,8.38788333333333,1,845.0,18.5,0.0,0.0,0.0,118.25,981.0
1926-10-01,10,1926,8.392024999999997,1,845.3333333333334,18.666666666666668,0.0,0.0,0.0,118.5,981.6666666666666
1926-11-01,11,1926,8.397891666666663,1,845.6666666666666,18.833333333333332,0.0,0.0,0.0,118.75,982.3333333333334
1926-12-01,12,1926,8.406641666666662,1,846.0,19.0,0.0,0.0,0.0,119.0,983.0
1927-01-01,1,1927,8.408633333333329,1,850.9166666666666,19.166666666666668,0.0,0.0,0.0,120.41666666666667,989.5833333333334
1927-02-01,2,1927,8.414291666666662,1,855.8333333333334,19.333333333333332,0.0,0.0,0.0,121.83333333333333,996.1666666666666
1927-03-01,3,1927,8.41579166666666,1,860.75,19.5,0.0,0.0,0.0,123.25,1002.75
1927-04-01,4,1927,8.41729166666666,1,865.6666666666666,19.666666666666668,0.0,0.0,0.0,124.66666666666667,1009.3333333333334
1927-05-01,5,1927,8.422799999999992,1,870.5833333333334,19.833333333333332,0.0,0.0,0.0,126.08333333333333,1015.9166666666666
1927-06-01,6,1927,8.425774999999994,1,875.5,20.0,0.0,0.0,0.0,127.5,1022.5
1927-07-01,7,1927,8.42630833333333,1,880.4166666666666,20.166666666666668,0.0,0.0,0.0,128.91666666666666,1029.0833333333333
1927-08-01,8,1927,8.428199999999997,1,885.3333333333334,20.333333333333332,0.0,0.0,0.0,130.33333333333334,1035.6666666666667
1927-09-01,9,1927,8.432441666666664,1,890.25,20.5,0.0,0.0,0.0,131.75,1042.25
1927-10-01,10,1927,8.443633333333329,1,895.1666666666666,20.666666666666668,0.0,0.0,0.0,133.16666666666666,1048.8333333333333
1927-11-01,11,1927,8.448016666666662,1,900.0833333333334,20.833333333333332,0.0,0.0,0.0,134.58333333333334,1055.4166666666667
1927-12-01,12,1927,8.456516666666664,1,905.0,21.0,0.0,0.0,0.0,136.0,1062.0
